Dataset,Missingness Ratio,Mechanism,Iteration,ROC-AUC Score,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.2,MAR,10,1,global,0.844041916,0.759443876,0.746547425,0.955350346,0.884978507,0.864199547,0.772534738
breast_cancer,0.2,MNAR,1,1,global,0.881610383,0.771925591,0.742154339,0.961433726,0.865766396,0.891028926,0.781641177
breast_cancer,0.2,MNAR,2,1,global,0.874820621,0.746021445,0.759502189,0.953708968,0.853724436,0.900780749,0.817744369
breast_cancer,0.2,MNAR,3,1,global,0.853571923,0.74998659,0.751872251,0.941411662,0.852163755,0.857229104,0.792005799
breast_cancer,0.2,MNAR,4,1,global,0.846545346,0.725528823,0.721932919,0.914295981,0.850425052,0.883482481,0.792029724
breast_cancer,0.2,MNAR,5,1,global,0.870537826,0.719931129,0.726389832,0.955637539,0.869896871,0.910049534,0.770162136
breast_cancer,0.2,MNAR,6,1,global,0.876724257,0.722306106,0.739793526,0.946727421,0.895680246,0.899760643,0.797119846
breast_cancer,0.2,MNAR,7,1,global,0.895119562,0.739795015,0.737704567,0.902022374,0.842080436,0.898076208,0.817402102
breast_cancer,0.2,MNAR,8,1,global,0.879631388,0.769938268,0.745834991,0.902961054,0.881796242,0.906008375,0.794838094
breast_cancer,0.2,MNAR,9,1,global,0.881774288,0.749760358,0.745589318,0.906973639,0.898592185,0.874276053,0.798331719
breast_cancer,0.2,MNAR,10,1,global,0.885321779,0.746396829,0.740815543,0.914848353,0.872115666,0.904274568,0.797445938
breast_cancer,0.3,MCAR,1,1,global,0.846115482,0.733895276,0.748715251,0.951056888,0.874686679,0.860177936,0.783855029
breast_cancer,0.3,MCAR,2,1,global,0.867537302,0.766866238,0.754583686,0.913077293,0.886226245,0.912052139,0.81257569
breast_cancer,0.3,MCAR,3,1,global,0.858418933,0.721996112,0.73165683,0.906833444,0.845977097,0.890088634,0.772209904
breast_cancer,0.3,MCAR,4,1,global,0.887609271,0.720507191,0.742816229,0.95878489,0.895424476,0.896408906,0.798976922
breast_cancer,0.3,MCAR,5,1,global,0.865110691,0.744683566,0.754031549,0.92303287,0.884481095,0.873360246,0.81210805
breast_cancer,0.3,MCAR,6,1,global,0.859221602,0.763249933,0.736321192,0.931709935,0.880110495,0.914985259,0.800185822
breast_cancer,0.3,MCAR,7,1,global,0.901601723,0.754352043,0.746015741,0.924264966,0.889106212,0.898023068,0.801392031
breast_cancer,0.3,MCAR,8,1,global,0.868394232,0.721788903,0.723719714,0.91070808,0.844531592,0.879769587,0.766259933
breast_cancer,0.3,MCAR,9,1,global,0.871651558,0.72048552,0.75570142,0.920411682,0.898830784,0.898413301,0.787613699
breast_cancer,0.3,MCAR,10,1,global,0.884537986,0.754572964,0.753502043,0.932805668,0.870209461,0.901588031,0.76577302
breast_cancer,0.3,MAR,1,1,global,0.848599311,0.725862412,0.759798597,0.940736549,0.861302108,0.86896405,0.790638539
breast_cancer,0.3,MAR,2,1,global,0.862162741,0.745815663,0.74924887,0.899600805,0.901317488,0.907402775,0.79128849
breast_cancer,0.3,MAR,3,1,global,0.84767727,0.725627415,0.727828522,0.931142106,0.892203015,0.878708563,0.776985221
breast_cancer,0.3,MAR,4,1,global,0.865022401,0.723543244,0.755683578,0.911383269,0.898611523,0.909262598,0.803888602
breast_cancer,0.3,MAR,5,1,global,0.862758759,0.728656346,0.719569238,0.935889622,0.864134177,0.865159803,0.777378873
breast_cancer,0.3,MAR,6,1,global,0.901147032,0.72743744,0.728780595,0.938306695,0.859643713,0.888624421,0.784899624
breast_cancer,0.3,MAR,7,1,global,0.853458707,0.741729498,0.765862927,0.960233068,0.900121774,0.877257996,0.791975836
breast_cancer,0.3,MAR,8,1,global,0.902543392,0.740745755,0.756269253,0.945436091,0.843930953,0.859560131,0.809204093
breast_cancer,0.3,MAR,9,1,global,0.875355127,0.755942655,0.742665914,0.919721354,0.887560403,0.911986568,0.809967116
breast_cancer,0.3,MAR,10,1,global,0.874570677,0.74778481,0.762958934,0.947247239,0.898675476,0.875938298,0.78261594
breast_cancer,0.3,MNAR,1,1,global,0.884771223,0.732925658,0.756271177,0.939889594,0.874029811,0.895186442,0.780883727
breast_cancer,0.3,MNAR,2,1,global,0.877638924,0.737999148,0.77061144,0.960622917,0.902012861,0.892757666,0.782223258
breast_cancer,0.3,MNAR,3,1,global,0.886346229,0.720110507,0.723135047,0.95299483,0.875967456,0.874663983,0.804445345
breast_cancer,0.3,MNAR,4,1,global,0.857207761,0.756475415,0.729801668,0.90063067,0.863781271,0.902221157,0.777435509
breast_cancer,0.3,MNAR,5,1,global,0.85426771,0.743941354,0.764521452,0.927852537,0.889593137,0.907274844,0.820869077
breast_cancer,0.3,MNAR,6,1,global,0.856054433,0.728380606,0.742681649,0.922578885,0.867207742,0.887720089,0.79620071
breast_cancer,0.3,MNAR,7,1,global,0.847301707,0.745412077,0.734337875,0.927787113,0.860598433,0.857341486,0.785009676
breast_cancer,0.3,MNAR,8,1,global,0.85535155,0.770754163,0.732902043,0.905645079,0.872480861,0.896872508,0.771153375
breast_cancer,0.3,MNAR,9,1,global,0.867829024,0.743692329,0.72274778,0.953933484,0.85564139,0.892356301,0.794066505
breast_cancer,0.3,MNAR,10,1,global,0.89362256,0.7521363,0.758441726,0.955468657,0.851935128,0.857601653,0.787958268
open_ml_breast_cancer,0.1,MCAR,1,1,global,0.882457389,0.736425986,0.757361746,0.922647731,0.865906746,0.890866958,0.790133199
open_ml_breast_cancer,0.1,MCAR,2,1,global,0.875839406,0.741162191,0.768451815,0.94670508,0.86872269,0.875067211,0.795566555
open_ml_breast_cancer,0.1,MCAR,3,1,global,0.844974186,0.766778578,0.744997674,0.951117512,0.886491902,0.867377377,0.768100898
open_ml_breast_cancer,0.1,MCAR,4,1,global,0.880200962,0.759365526,0.735755515,0.95639828,0.848167297,0.910590162,0.788070927
open_ml_breast_cancer,0.1,MCAR,5,1,global,0.879079386,0.767586038,0.730919149,0.937009287,0.874564037,0.860183237,0.81285697
open_ml_breast_cancer,0.1,MCAR,6,1,global,0.87452386,0.941176471,0.941176471,0.918578227,0.848190514,0.976190476,0.96969697
open_ml_breast_cancer,0.1,MCAR,7,1,global,0.844922727,0.719074647,0.762069642,0.903655192,0.896712272,0.893713981,0.789955796
open_ml_breast_cancer,0.1,MCAR,8,1,global,0.863069902,0.734691793,0.759494621,0.914733895,0.86241347,0.906799151,0.805529213
